name,yahoo_ticker,isin,country,exchange,sector,enabled
Aevis Victoria SA,AEVS.SW,CH0478634105,CH,SIX,,true
Alcon AG,ALC.SW,CH0432492467,CH,SIX,,true
Allreal Holding,ALLN.SW,CH0008837566,CH,SIX,,true
Alpine Select AG,ALPN.SW,CH0019199550,CH,SIX,,true
Also Holding AG,ALSN.SW,CH0024590272,CH,SIX,,true
Allianz SE,ALV.SW,,CH,SIX,,true
Amerize Inc.,AMRZ.SW,CH1430134226,CH,SIX,,true
Ams AG,AMS.SW,AT0000A3EPA4,CH,SIX,,true
APG SGA SA,APGN.SW,CH0019107025,CH,SIX,,true
Arbonia AG,ARBN.SW,CH0110240600,CH,SIX,,true
Aryzta AG,ARYN.SW,CH0043238366,CH,SIX,,true
Ascom Holding AG,ASCN.SW,CH0011339204,CH,SIX,,true
ASML Holding N.V.,ASML.SW,,CH,SIX,,true
Asmallworld AG,ASWN.SW,CH0404880129,CH,SIX,,true
Autoneum Holding AG,AUTN.SW,CH0127480363,CH,SIX,,true
Broadcom Inc,AVGO.SW,,CH,SIX,,true
Avolta AG,AVOL.SW,CH0023405456,CH,SIX,,true
BARRICK MINING CORP,B.SW,,CH,SIX,,true
Julius Baer Gruppe AG,BAER.SW,CH0102484968,CH,SIX,,true
Bachem Holding AG,BANB.SW,CH0012530207,CH,SIX,,true
Barry Callebaut AG,BARN.SW,CH0009002962,CH,SIX,,true
Bellevue Group AG,BBN.SW,CH0028422100,CH,SIX,,true
Banque Cantonale de Geneve,BCGE.SW,CH0350494719,CH,SIX,,true
Burckhardt Compression,BCHN.SW,CH0025536027,CH,SIX,,true
Banque Cantonale Du Jura SA,BCJ.SW,CH0350665672,CH,SIX,,true
Banque Cantonale Vaudoise,BCVN.SW,CH0531751755,CH,SIX,,true
Belimo Holding,BEAN.SW,CH1101098163,CH,SIX,,true
Berner Kantonalbank AG,BEKN.SW,CH0009691608,CH,SIX,,true
Bell AG,BELL.SW,CH0315966322,CH,SIX,,true
BB Biotech AG,BION.SW,CH0038389992,CH,SIX,,true
Bioversys AG,BIOV.SW,CH0210362643,CH,SIX,,true
BKW AG,BKW.SW,CH0130293662,CH,SIX,,true
Basellandschaftliche Kantonalbank,BLKB.SW,CH0001473559,CH,SIX,,true
Bajaj Mobility AG,BMAG.SW,AT0000KTMI02,CH,SIX,,true
Bossard Holding AG,BOSN.SW,CH0238627142,CH,SIX,,true
Burkhalter Holding AG,BRKN.SW,CH0212255803,CH,SIX,,true
Basler Kantonalbank,BSKP.SW,CH0009236461,CH,SIX,,true
Basilea Pharmaceutica AG,BSLN.SW,CH0011432447,CH,SIX,,true
Bucher Industries AG,BUCN.SW,CH0002432174,CH,SIX,,true
BVZ Holding AG,BVZN.SW,CH0008207356,CH,SIX,,true
Bystronic AG,BYS.SW,CH0244017502,CH,SIX,,true
Calida Holding AG,CALN.SW,CH0126639464,CH,SIX,,true
Compagnie Financière Richemont SA,CFR.SW,CH0210483332,CH,SIX,,true
Compagnie Financiere Tradition,CFT.SW,CH0014345117,CH,SIX,,true
Cicor Technologies Ltd,CICN.SW,CH0008702190,CH,SIX,,true
Clariant AG,CLN.SW,CH0012142631,CH,SIX,,true
Coltene Holding AG,CLTN.SW,CH0025343259,CH,SIX,,true
Cembra Money Bank AG,CMBN.SW,CH0225173167,CH,SIX,,true
CENTIEL N AG,CNTL.SW,,CH,SIX,,true
COSMO Pharmaceuticals SA,COPN.SW,NL0011832936,CH,SIX,,true
Comet Holding AG,COTN.SW,CH0360826991,CH,SIX,,true
CPH Chemie und Papier Holding,CPHN.SW,CH0001624714,CH,SIX,,true
CoinShares Physical Staked Sei,CSEI.SW,,CH,SIX,,true
CURATIS N AG,CURN.SW,CH1330780979,CH,SIX,,true
Daetwyl I,DAE.SW,CH0030486770,CH,SIX,,true
Dottikon Es Holding AG,DESN.SW,CH0582581713,CH,SIX,,true
DKSH Holding AG,DKSH.SW,CH0126673539,CH,SIX,,true
DocMorris AG,DOCM.SW,CH0042615283,CH,SIX,,true
Dorma Kaba Holding AG,DOKA.SW,CH1486524122,CH,SIX,,true
DSM FIRMENICH AG,DSFIR.SW,,CH,SIX,,true
EFG International AG,EFGN.SW,CH0022268228,CH,SIX,,true
Elma Electronic AG,ELMN.SW,CH0005319162,CH,SIX,,true
Emmi AG,EMMN.SW,CH0012829898,CH,SIX,,true
EMS-CHEMIE HOLDING AG,EMSN.SW,CH0016440353,CH,SIX,,true
EPIC Suisse AG,EPIC.SW,CH0516131684,CH,SIX,,true
Edisun Power Europe AG,ESUN.SW,CH0024736404,CH,SIX,,true
Evolva Holding SA,EVE.SW,CH0021218067,CH,SIX,,true
Flughafen Zurich,FHZN.SW,CH0319416936,CH,SIX,,true
Forbo Holding AG,FORN.SW,CH0003541510,CH,SIX,,true
Fundamenta Real Estate AG,FREN.SW,CH0045825517,CH,SIX,,true
Feintool International Holding,FTON.SW,CH0009320091,CH,SIX,,true
Galderma Group N,GALD.SW,CH1335392721,CH,SIX,,true
Galenica Sante AG,GALE.SW,CH0360674466,CH,SIX,,true
GAM Holding AG,GAM.SW,CH0102659627,CH,SIX,,true
Carlo Gavazzi Holding AG,GAV.SW,CH0011003594,CH,SIX,,true
Geberit AG,GEBN.SW,CH0030170408,CH,SIX,,true
Georg Fischer AG,GF.SW,CH1169151003,CH,SIX,,true
Givaudan SA,GIVN.SW,CH0010645932,CH,SIX,,true
Glarner Kantonalbank,GLKBN.SW,CH0189396655,CH,SIX,,true
Corning Inc,GLW.SW,,CH,SIX,,true
Groupe Minoteries SA,GMI.SW,CH0012949464,CH,SIX,,true
Graubuendner Kantonalbank,GRKP.SW,CH0001340204,CH,SIX,,true
Gurit Holding AG,GURN.SW,CH1173567111,CH,SIX,,true
Haute Capital Partners AG,HAUTE.SW,CH1115678950,CH,SIX,,true
Helvetia Holding AG,HBAN.SW,CH0466642201,CH,SIX,,true
Hypothekarbank Lenzburg AG,HBLN.SW,CH0001341608,CH,SIX,,true
HBM Healthcare Investments,HBMN.SW,CH0012627250,CH,SIX,,true
HIAG Immobilien Holding AG,HIAG.SW,CH0239518779,CH,SIX,,true
Highlight Event Entertainment,HLEE.SW,CH0003583256,CH,SIX,,true
Holcim AG,HOLN.SW,CH0012214059,CH,SIX,,true
Huber+suhner AG,HUBN.SW,CH0030380734,CH,SIX,,true
21Shares Hyperliquid ETP,HYPE.SW,,CH,SIX,,true
Idorsia Ltd,IDIA.SW,CH0363463438,CH,SIX,,true
Inficon Holding,IFCN.SW,CH1431598916,CH,SIX,,true
Implenia AG,IMPN.SW,CH0023868554,CH,SIX,,true
Interroll Holding AG,INRN.SW,CH0006372897,CH,SIX,,true
Intel Corporation,INTC.SW,,CH,SIX,,true
Investis Holding SA,IREN.SW,CH0325094297,CH,SIX,,true
Intershop Holding AG,ISN.SW,CH0273774791,CH,SIX,,true
Jungfraubahn Holding AG,JFN.SW,CH0017875789,CH,SIX,,true
JPM Glb EM Rsh Enh Idx EqSRIPAActETF$Acc,JSEM.SW,,CH,SIX,,true
Kardex,KARN.SW,CH0100837282,CH,SIX,,true
Kraft Heinz Company,KHC.SW,,CH,SIX,,true
Klingelnberg AG,KLIN.SW,CH0420462266,CH,SIX,,true
Kuehne & Nagel,KNIN.SW,CH0025238863,CH,SIX,,true
Komax Holding AG,KOMN.SW,CH0010702154,CH,SIX,,true
Kudelski,KUD.SW,CH0012268360,CH,SIX,,true
Kuros Biosciences AG,KURN.SW,CH0325814116,CH,SIX,,true
Landis+Gyr Group AG,LAND.SW,CH0371153492,CH,SIX,,true
Leclanche SA,LECN.SW,CH0110303119,CH,SIX,,true
Lem Holding SA,LEHN.SW,CH0022427626,CH,SIX,,true
Leonteq AG,LEON.SW,CH0190891181,CH,SIX,,true
Chocoladefabriken Lindt & Spruengli AG N,LISN.SW,CH0010570759,CH,SIX,,true
Chocoladefabriken Lindt & Spruengli AG Part,LISP.SW,CH0010570767,CH,SIX,,true
